"categories/0","categories/1","categories/2","categories/3","categories/4","categoryName","city","countryCode","language","location/lat","location/lng","name","neighborhood","publishedAtDate","stars","text","textTranslated","title"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Adil Khan","الديرة","2025-10-13T23:24:25.600Z","5","Historic place, each and every wall and the doors of this Museum tells us it's own tale.
Must visit this Museum along with your family and get some useful information about this place.
The entry is free.","مكان تاريخي، كل جدار وباب في هذا المتحف يروي لنا حكاية خاصة. لا تفوتوا زيارة هذا المتحف مع عائلتكم واحصلوا على معلومات مفيدة عنه. الدخول مجاني.","قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","سلطان عبدالله","الديرة","2025-10-12T12:40:15.477Z","5",,,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","eduardo abril de fontcuberta","الديرة","2025-10-12T12:00:25.638Z","5","UPDATE after my phone call to AlMasmak issue. My hotel concierge was able to contact them and confirm theywere open. So I went.
What a fantastic small museum.  An elegant, educational and historically rich museum that tell the story of the reuification of the Kingdom through the conquer  by King Abdulaziz.of the Masmak fortress. Even the video of the capture  beautifully  disaplayed the heroism of hi 40 men in a night commando raid. Must do. By the way the entrance is free.","تحديث بعد مكالمتي الهاتفية مع المصمك. تمكّن موظف الاستقبال في فندقي من التواصل معهم وتأكيد فتح أبوابه. فذهبتُ.

يا له من متحف صغير رائع! متحف أنيق، تعليمي، وغني بالتاريخ، يروي قصة توحيد المملكة من خلال فتح الملك عبد العزيز لقلعة المصمك. حتى فيديو الاستيلاء على القلعة أظهر ببراعة بطولة أربعين رجلاً في غارة ليلية. لا غنى عن زيارته. بالمناسبة، الدخول مجاني.","قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","C Lopez R","الديرة","2025-10-12T04:56:16.253Z","5",,,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Abdul Hamid Humble","الديرة","2025-10-11T22:04:48.042Z","5","It is a historical palace , and I have visited here many times This palace is brimful of history of KSA,If someone wanna go to here,they will get knowledge about the history of Saudi arabia.","إنه قصر تاريخي، وقد زرت هذا القصر عدة مرات، هذا القصر مليء بتاريخ المملكة العربية السعودية، إذا أراد شخص ما الذهاب إلى هنا، فسوف يحصل على معرفة بتاريخ المملكة العربية السعودية.","قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Hkeem AlZamil","الديرة","2025-10-11T18:57:09.022Z","5","قمة في الروعة",,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Abdullah Alshuaibi","الديرة","2025-10-11T16:09:23.906Z","5",,,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Tanzeem Naseer","الديرة","2025-10-11T14:56:08.373Z","5",,,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Abdulrahman Mohammed","الديرة","2025-10-11T10:47:36.732Z","5","قصر المصمك",,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","سعيد","الديرة","2025-10-11T06:43:51.975Z","5",,,"قصر المصمك"
"قلعة","متحف أثري","حِصْن","مَعلم تاريخي","مزار سياحي","قلعة","الرياض","SA","ar","24.6312313","46.713417","Muhammad Tariq","الديرة","2025-10-10T18:37:55.934Z","5","🕌 Mismak Fort – The Heart of Old Riyadh 🇸🇦

Step back in time at Mismak Fort, one of Riyadh’s most iconic historical landmarks. Built in the late 19th century, this mud-brick fortress played a key role in the unification of Saudi Arabia. 🏰✨

Today, it stands proudly in the city center — a symbol of strength, heritage, and the Kingdom’s rich history. A must-visit spot for every traveler exploring Riyadh! 🌴📸

#Riyadh #MismakFort #SaudiHeritage #HistoricRiyadh #VisitSaudi","🕌 حصن المسماك - قلب الرياض القديمة 🇸🇦

عُد بالزمن إلى الوراء في حصن المسماك، أحد أبرز المعالم التاريخية في الرياض. بُني هذا الحصن المبني من الطوب اللبن في أواخر القرن التاسع عشر، ولعب دورًا محوريًا في توحيد المملكة العربية السعودية. 🏰✨

يقف اليوم بشموخ في قلب المدينة، رمزًا للقوة والتراث وتاريخ المملكة العريق. وجهة لا غنى عنها لكل مسافر يستكشف الرياض! 🌴📸

#الرياض #حصن_المسماك #التراث_السعودي #الرياض_التاريخية #زوروا_السعودية","قصر المصمك"
